,S. No.,Main Topic,Lecture Name (Is order mein shuru karein),Attendance,Unnamed: 4
177,175,DL Concepts,001. Loss Function,,https://drive.google.com/file/d/1o2_CcrxLcibuIFvUKMdfiCJsrcfGboAc/view?usp=drive_link
178,176,DL Concepts,002. Forward & Back Propagation,,https://drive.google.com/file/d/1Fw8c3QxEK6TQ9Vew7uNA1Ba04MMcyl8b/view?usp=drive_link
179,177,DL Concepts,002. Optimizers,,https://drive.google.com/file/d/1D8fQk4bvBZFSSaewgFWOKgMlX5OAQt-L/view?usp=drive_link
180,178,DL Concepts,002. Batch Normalisation,,https://drive.google.com/file/d/1HFeqgSCnIPR9jjdLCnMNeYaylaINSAMF/view?usp=drive_link
181,179,DL Reg.,000. Regularisation in Deep Learning,,https://drive.google.com/file/d/1VnZnY8iGsztFlx4m-EwRVhCL5Yr8qehx/view?usp=drive_link
182,180,DL Reg.,003. Regularization,,https://drive.google.com/file/d/1qBhueobvl2Row0EDcSEDn1Vv8uENGpEg/view?usp=drive_link
183,181,Keras ANN,003. Implementation of ANN using Keras,,https://drive.google.com/file/d/1hswTEaX3ojRt1ScxbACIvWbaV5-b-_Bh/view?usp=drive_link
184,182,Keras ANN,000. Regression using ANN,,https://drive.google.com/file/d/198nzoYNFMJBR5N7Myj6fzPjkqRVC_1ir/view?usp=drive_link
185,183,Frameworks,003. Tensorflow,,https://drive.google.com/file/d/1eUpGC2bp5SHtUUCTNygz5reN-wCFCIH5/view?usp=drive_link
186,184,Frameworks,006. Tensorflow lecture,,https://drive.google.com/file/d/1mRoW8xBP8vuc3t8auifdToD63IS2203z/view?usp=drive_link
187,185,Frameworks,004. Pytorch,,https://drive.google.com/file/d/1UacWfmfLrm2gmlKoMiOikfPvGy6x4PHy/view?usp=drive_link
188,186,Frameworks,005. Pytorch Lecture,,https://drive.google.com/file/d/1Cdy0WDsZlZnbJjFdCuNNKhZSqGXnBr-R/view?usp=drive_link
189,187,CNN,000. CNN Foundation - 1,,https://drive.google.com/file/d/15zy3DmQYLP2pgqDsrQEYVgLB-N6oKIcz/view?usp=drive_link
190,188,CNN,001. CNN - 2,,https://drive.google.com/file/d/1jIHWGliSNcGwVs-Mqm4aFyUZsWz7oSNy/view?usp=drive_link
191,189,CNN,002. CNN - 3 (Explainer),,https://drive.google.com/file/d/15_RevhI1z5KPrDWztsmLwAKsZyv2JWpH/view?usp=drive_link
192,190,CNN,003. CNN - 4 (LENET),,https://drive.google.com/file/d/1fj2zhneR-8hN2B0lj5XPRJAtjMoT3N8W/view?usp=drive_link
193,191,CNN,004. CNN - 5 (Alex Net),,https://drive.google.com/file/d/1jDp8Rp4Bi9qeUqxrwyM7OeWqv2WXYo9x/view?usp=drive_link
194,192,CNN,007. VGG NET,,https://drive.google.com/file/d/1MpiGOXdtLL1Ydd7smh32A7kWXF8zIFXQ/view?usp=drive_link
195,193,Live Class,000. Live Class (CNN) (CNN ke baad doubts clear karein),,https://drive.google.com/file/d/1RLzb4bXDPplxdVz3S1dknNwlNqy_N29w/view?usp=drive_link
196,194,Time Series,000. introduction of time series,,https://drive.google.com/file/d/1v1hK2Syi-qn7YIFriGMcAYiaW7k-DJma/view?usp=drive_link
197,195,Time Series,001. components of time series,,https://drive.google.com/file/d/1AysVvcDqxp1MTjZAmalu7t6Dq_wMFQUm/view?usp=drive_link
198,196,Time Series,003. stationary and non stationary,,https://drive.google.com/file/d/1Hmcaz7XvnEhLskp1bs8-P0AdW9E9N8Vp/view?usp=drive_link
199,197,Time Series,002. moving average,,https://drive.google.com/file/d/16kKlWiyJUEFvsmIsJ-Gi8sxQwB12Ef4u/view?usp=drive_link
200,198,Time Series,007. Time sereis EDA,,https://drive.google.com/file/d/1MU-yI1FX6tjG-DTa1Rj4CmLWvaKUGI3u/view?usp=drive_link
201,199,Time Series,005. arima,,https://drive.google.com/file/d/1bry0lTXxKhXtkEQyLpC8u7j5jFW23g3f/view?usp=drive_link
202,200,Time Series,006. time sereis model building,,https://drive.google.com/file/d/1M-mhUV1B8dB9D6Y2jeS5m8GsQRMWsT7Q/view?usp=drive_link
203,201,API Intro,000. What Is Web Api,,https://drive.google.com/file/d/16D6YxTpURUSmMW4GU4-H9yZKwoxcxb8P/view?usp=drive_link
204,202,API Intro,001. Difference B W Api And Web Api,,https://drive.google.com/file/d/13h3UeFzGNlhI-f3A_44VBZroXjwaroNW/view?usp=drive_link
205,203,API Arch.,002. Rest And Soap Architecture,,https://drive.google.com/file/d/15UQwFVwOSyEb8ddZ5NsSgWdA70ACHk6L/view?usp=drive_link
206,204,API Arch.,003. Restful Services,,https://drive.google.com/file/d/1ig_BeGScQyRVuY39o9JDUAnVG-sWn81L/view?usp=drive_link
207,205,Flask,000. Flask Introduction,,https://drive.google.com/file/d/1xLU3lM-CuoNt00Pf7Z6YZJVRvHknKA70/view?usp=drive_link
208,206,Flask,"001. Flask_Http_Methods_Templates_, Project_&_Postman",,https://drive.google.com/file/d/1P1802aaSlM53NSianLHSCkVkVkI2deWd/view?usp=drive_link
209,207,Database,000. Working With SQL,,https://drive.google.com/file/d/1388JWGvKIOAGEZtKl9dCc4JpBpQWLrZ5/view?usp=drive_link
210,208,Database,000. Working With MongoDB,,https://drive.google.com/file/d/1S3p09vGtWDU_WocS8RLRr0j41Y1liQcz/view?usp=drive_link
211,209,Database,001. Integration_With_Rest_API_Web_Portal_And_MongoDB,,https://drive.google.com/file/d/1KqRoUtZDRcPsZkd0Vzfc5kK-45-heNsZ/view?usp=drive_link
212,210,Project Prep,000. Project And Git Repository Set Up,,https://drive.google.com/file/d/1oNZUJFFpILbfqC4IunwIg4nnk_8UFojk/view?usp=drive_link
213,211,Project Prep,001. Git Commit End to End Project,,https://drive.google.com/file/d/1SBas7Evhnqpilm__kWyzY-LlfqXgLFQi/view?usp=drive_link
214,212,Project Prep,000. Advanced Project Structure Set Up (Project shuru karne se pehle),,
215,213,Project,000. End To End ML Project,,https://drive.google.com/file/d/1P4a-0qvjEvh4XgKrKqGlqKViSZTC2y_8/view?usp=drive_link
216,214,Project,000. Project_Wafer_Fault_Detection_Implementation,,https://drive.google.com/file/d/1pr__b9aQO1tOVLrBUM7mQXGwtz_PlhOc/view?usp=drive_link
217,215,Project,000. ML Project Cement Strength Prediction,,https://drive.google.com/file/d/1at75fJG7LYiuFCn2AEs7LKaxPDitftdI/view?usp=drive_link
218,216,Project,005. Data Transformation ML Project,,https://drive.google.com/file/d/1lRrGna5TJ_1wVhMYsgYa_jzLgzMnTYiZ/view?usp=drive_link
219,217,Project,003. End To End Project Decision Tree SVC,,https://drive.google.com/file/d/1NJ278hhlnKyRe1V5EqVtZgYenGnHbBUJ/view?usp=drive_link
220,218,Cloud Deploy,001. Deployment in Azure,,https://drive.google.com/file/d/1_NecYJBnRDbGI4ZoP8nsiiN0VvBZniA3/view?usp=drive_link
221,219,Cloud Deploy,002. Deployment On Web Portal On AWS Cloud,,https://drive.google.com/file/d/1ObFlsAu-QU8_uVRFcNfI3L1LWF_V-lFb/view?usp=drive_link
222,220,Final Step,007. End To End Project Deployment (Project ko cloud par daalna - sabse aakhri step),,https://drive.google.com/file/d/1MUPtTaAvy0RT5o7EDguFytB73d9I4wdx/view?usp=drive_link
